"繁對簡",,,
"陆","9646","陸","9678"
"驴","9A74","驢","9A62"
"吕","5415","呂","5442"
"铝","94DD","鋁","92C1"
"侣","4FA3","侶","4FB6"
"屡","5C61","屢","5C62"
"缕","7F15","縷","7E37"
"虑","8651","慮","616E"
"滤","6EE4","濾","6FFE"
"绿","7EFF","綠","7DA0"
"峦","5CE6","巒","5DD2"
"挛","631B","攣","6523"
"孪","5B6A","孿","5B7F"
"滦","6EE6","灤","7064"
"乱","4E71","亂","4E82"
"抡","62A1","掄","6384"
"轮","8F6E","輪","8F2A"
"伦","4F26","倫","502B"
"仑","4ED1","侖","4F96"
"沦","6CA6","淪","6DEA"
"纶","7EB6","綸","7DB8"
"论","8BBA","論","8AD6"
"萝","841D","蘿","863F"
"罗","7F57","羅","7F85"
"逻","903B","邏","908F"
"锣","9523","鑼","947C"
"箩","7BA9","籮","7C6E"
"骡","9AA1","騾","9A3E"
"骆","9A86","駱","99F1"
"络","7EDC","絡","7D61"
"妈","5988","媽","5ABD"
"玛","739B","瑪","746A"
"码","7801","碼","78BC"
"蚂","8682","螞","879E"
"马","9A6C","馬","99AC"
"骂","9A82","罵","7F75"
"吗","5417","嗎","55CE"
"买","4E70","買","8CB7"
"麦","9EA6","麥","9EA5"
"卖","5356","賣","8CE3"
"迈","8FC8","邁","9081"
"脉","8109","脈","8108"
"瞒","7792","瞞","779E"
"馒","9992","饅","9945"
"蛮","86EE","蠻","883B"
"满","6EE1","滿","6EFF"
"谩","8C29","謾","8B3E"
"猫","732B","貓","8C93"
"锚","951A","錨","9328"
"铆","94C6","鉚","925A"
"贸","8D38","貿","8CBF"
"么","4E48","麼","9EBC"
"霉","9709","黴","9EF4"
"没","6CA1","沒","6C92"
"镁","9541","鎂","9382"
"门","95E8","門","9580"
"闷","95F7","悶","60B6"
"们","4EEC","們","5011"
"锰","9530","錳","9333"
"梦","68A6","夢","5922"
"谜","8C1C","謎","8B0E"
"弥","5F25","彌","5F4C"
"觅","89C5","覓","8993"
"幂","5E42","冪","51AA"
"绵","7EF5","綿","7DBF"
"缅","7F05","緬","7DEC"
"庙","5E99","廟","5EDF"
"灭","706D","滅","6EC5"
"悯","60AF","憫","61AB"
"闽","95FD","閩","95A9"
"鸣","9E23","鳴","9CF4"
"铭","94ED","銘","9298"
"谬","8C2C","謬","8B2C"
"谋","8C0B","謀","8B00"
"亩","4EA9","畝","755D"
"钠","94A0","鈉","9209"
"纳","7EB3","納","7D0D"
"难","96BE","難","96E3"
"挠","6320","撓","6493"
"脑","8111","腦","8166"
"恼","607C","惱","60F1"
"闹","95F9","鬧","9B27"
"馁","9981","餒","9912"
"内","5185","內","5167"
"拟","62DF","擬","64EC"
"腻","817B","膩","81A9"
"撵","64B5","攆","6506"
"捻","637B","撚","649A"
"酿","917F","釀","91C0"
"鸟","9E1F","鳥","9CE5"
"聂","8042","聶","8076"
"啮","556E","齧","9F67"
"镊","954A","鑷","9477"
"镍","954D","鎳","93B3"
"柠","67E0","檸","6AB8"
"狞","72DE","獰","7370"
"宁","5B81","甯","752F"
"拧","62E7","擰","64F0"
"泞","6CDE","濘","6FD8"
"钮","94AE","鈕","9215"
"纽","7EBD","紐","7D10"
"脓","8113","膿","81BF"
"浓","6D53","濃","6FC3"
"农","519C","農","8FB2"
"疟","759F","瘧","7627"
"诺","8BFA","諾","8AFE"
"欧","6B27","歐","6B50"
"鸥","9E25","鷗","9DD7"
"殴","6BB4","毆","6BC6"
"呕","5455","嘔","5614"
"沤","6CA4","漚","6F1A"
"盘","76D8","盤","76E4"
"庞","5E9E","龐","9F90"
"抛","629B","拋","62CB"
"赔","8D54","賠","8CE0"
"喷","55B7","噴","5674"
"鹏","9E4F","鵬","9D6C"
"骗","9A97","騙","9A19"
"飘","98D8","飄","98C4"
"频","9891","頻","983B"
"贫","8D2B","貧","8CA7"
"苹","82F9","蘋","860B"
"凭","51ED","憑","6191"
"评","8BC4","評","8A55"
"泼","6CFC","潑","6F51"
"颇","9887","頗","9817"
"扑","6251","撲","64B2"
"铺","94FA","鋪","92EA"
"仆","4EC6","僕","50D5"
"朴","6734","樸","6A38"
"谱","8C31","譜","8B5C"
"栖","6816","棲","68F2"
"凄","51C4","淒","6DD2"
"脐","8110","臍","81CD"
"齐","9F50","齊","9F4A"
"骑","9A91","騎","9A0E"
"岂","5C82","豈","8C48"
"启","542F","啟","555F"
"气","6C14","氣","6C23"
"弃","5F03","棄","68C4"
"讫","8BAB","訖","8A16"
"牵","7275","牽","727D"
"扦","6266","扡","6261"
"钎","948E","釺","91FA"
"铅","94C5","鉛","925B"
"迁","8FC1","遷","9077"
"签","7B7E","簽","7C3D"
"谦","8C26","謙","8B19"
"钱","94B1","錢","9322"
"钳","94B3","鉗","9257"
"潜","6F5C","潛","6F5B"
"浅","6D45","淺","6DFA"
"谴","8C34","譴","8B74"
"堑","5811","塹","5879"
"枪","67AA","槍","69CD"
"呛","545B","嗆","55C6"
"墙","5899","牆","7246"
"蔷","8537","薔","8594"
"强","5F3A","強","5F37"
"抢","62A2","搶","6436"
"锹","9539","鍬","936C"
"桥","6865","橋","6A4B"
"乔","4E54","喬","55AC"
"侨","4FA8","僑","50D1"
"翘","7FD8","翹","7FF9"
"窍","7A8D","竅","7AC5"
"窃","7A83","竊","7ACA"
"钦","94A6","欽","6B3D"
"亲","4EB2","親","89AA"
"寝","5BDD","寢","5BE2"
"轻","8F7B","輕","8F15"
"氢","6C22","氫","6C2B"
"倾","503E","傾","50BE"
"顷","9877","頃","9803"
"请","8BF7","請","8ACB"
"庆","5E86","慶","6176"
"琼","743C","瓊","74CA"
"穷","7A77","窮","7AAE"
"趋","8D8B","趨","8DA8"
"区","533A","區","5340"
"躯","8EAF","軀","8EC0"
"驱","9A71","驅","9A45"
"龋","9F8B","齲","9F72"
"颧","98A7","顴","9874"
"权","6743","權","6B0A"
"劝","529D","勸","52F8"
"却","5374","卻","537B"
"鹊","9E4A","鵲","9D72"
"确","786E","確","78BA"
"让","8BA9","讓","8B93"
"饶","9976","饒","9952"
"扰","6270","擾","64FE"
"绕","7ED5","繞","7E5E"
"热","70ED","熱","71B1"
"韧","97E7","韌","97CC"
"认","8BA4","認","8A8D"
"纫","7EAB","紉","7D09"
"荣","8363","榮","69AE"
"绒","7ED2","絨","7D68"
"软","8F6F","軟","8EDF"
"锐","9510","銳","92B3"
"闰","95F0","閏","958F"
"润","6DA6","潤","6F64"
"洒","6D12","灑","7051"
"萨","8428","薩","85A9"
"鳃","9CC3","鰓","9C13"
"赛","8D5B","賽","8CFD"
"叁","53C1","三","4E09"
"伞","4F1E","傘","5098"
"丧","4E27","喪","55AA"
"骚","9A9A","騷","9A37"
"扫","626B","掃","6383"
"涩","6DA9","澀","6F80"
"杀","6740","殺","6BBA"
"纱","7EB1","紗","7D17"
"筛","7B5B","篩","7BE9"
"晒","6652","曬","66EC"
"删","5220","刪","522A"
"闪","95EA","閃","9583"
"陕","9655","陝","965D"
"赡","8D61","贍","8D0D"
"缮","7F2E","繕","7E55"
"伤","4F24","傷","50B7"
"赏","8D4F","賞","8CDE"
"烧","70E7","燒","71D2"
"绍","7ECD","紹","7D39"
"赊","8D4A","賒","8CD2"
"摄","6444","攝","651D"
"慑","6151","懾","61FE"
"设","8BBE","設","8A2D"
"绅","7EC5","紳","7D33"
"审","5BA1","審","5BE9"
"婶","5A76","嬸","5B38"
"肾","80BE","腎","814E"
"渗","6E17","滲","6EF2"
"声","58F0","聲","8072"
"绳","7EF3","繩","7E69"
"胜","80DC","勝","52DD"
"圣","5723","聖","8056"
"师","5E08","師","5E2B"
"狮","72EE","獅","7345"
"湿","6E7F","濕","6FD5"
"诗","8BD7","詩","8A69"
"尸","5C38","屍","5C4D"
"时","65F6","時","6642"
"蚀","8680","蝕","8755"
"实","5B9E","實","5BE6"
"识","8BC6","識","8B58"
"驶","9A76","駛","99DB"
"势","52BF","勢","52E2"
"适","9002","適","9069"
"释","91CA","釋","91CB"
"饰","9970","飾","98FE"
"视","89C6","視","8996"
"试","8BD5","試","8A66"
"寿","5BFF","壽","58FD"
"兽","517D","獸","7378"
"枢","67A2","樞","6A1E"
"输","8F93","輸","8F38"
"书","4E66","書","66F8"
"赎","8D4E","贖","8D16"
"属","5C5E","屬","5C6C"
"术","672F","術","8853"
"树","6811","樹","6A39"
"竖","7AD6","豎","8C4E"
"数","6570","數","6578"
